County,TOT_POP,WA_TOT,BA_TOT,AA_TOT,NH_TOT,H_TOT,WA_pct,BA_pct,AA_pct,NH_pct,H_pct
Appling,18386,14195,3595,153,16541,1845,0.7720548243228543,0.19552920700533014,0.008321549004677471,0.8996519090612423,0.10034809093875775
Atkinson,8165,6253,1418,82,6091,2074,0.7658297611757502,0.17366809552969995,0.010042865890998162,0.7459889773423147,0.2540110226576852
Bacon,11164,9009,1810,85,10206,958,0.8069688283769259,0.1621282694374776,0.007613758509494805,0.9141884629165173,0.08581153708348262
Baker,3038,1607,1338,35,2845,193,0.5289664252797893,0.44042132982225146,0.01152073732718894,0.9364713627386438,0.06352863726135616
Baldwin,44890,24255,19061,782,43839,1051,0.5403207841390064,0.42461572733348185,0.017420360882156382,0.9765872131877924,0.02341278681220762
Banks,19234,18036,549,202,17840,1394,0.937714463970053,0.02854320474160341,0.010502235624415098,0.9275241759384424,0.07247582406155766
Barrow,83240,66554,10725,3332,73103,10137,0.7995434887073523,0.12884430562229698,0.04002883229216723,0.8782196059586738,0.12178039404132629
Bartow,107738,91431,12224,1115,97871,9867,0.8486420761476916,0.113460431788227,0.010349180419165011,0.9084167146225102,0.09158328537748983
Ben Hill,16700,10021,6181,142,15652,1048,0.600059880239521,0.37011976047904194,0.008502994011976048,0.937245508982036,0.06275449101796407
Berrien,19397,16641,2164,240,18334,1063,0.857916172604011,0.11156364386245296,0.012373047378460587,0.945197710986235,0.054802289013765014
Bibb,153159,61227,85466,3388,147812,5347,0.3997610326523417,0.5580214025946891,0.022120802564655033,0.9650885680893712,0.03491143191062882
Bleckley,12873,9058,3463,145,12459,414,0.7036432843936922,0.2690126621611124,0.011263885652140138,0.9678396644138896,0.032160335586110464
Brantley,19109,17848,758,61,18676,433,0.934010152284264,0.03966717253650112,0.0031922130933068186,0.9773405201737401,0.022659479826259876
Brooks,15457,9493,5446,164,14500,957,0.6141553988484182,0.35233227663841626,0.010610079575596816,0.9380863039399625,0.06191369606003752
Bryan,39627,31029,6016,896,36613,3014,0.7830267242031947,0.15181568122744593,0.022610846140257906,0.9239407474701592,0.07605925252984076
Bulloch,79608,52993,23557,1069,76232,3376,0.6656743040900412,0.29591247110843133,0.013428298663450909,0.9575922017887649,0.042407798211235054
Burke,22383,11267,10502,125,21604,779,0.5033730956529509,0.46919537148728946,0.005584595451905464,0.9651968011437252,0.03480319885627485
Butts,24936,17076,7199,180,24050,886,0.6847930702598652,0.28869906961822267,0.007218479307025986,0.9644690407443054,0.03553095925569458
Calhoun,6189,2235,3766,53,5875,314,0.3611245758603975,0.6084989497495557,0.00856358054613023,0.9492648246889643,0.05073517531103571
Camden,54666,41019,10492,834,50763,3903,0.7503567116672154,0.19192916986792521,0.015256283613214796,0.9286027878388761,0.07139721216112392
Candler,10803,7784,2691,123,9472,1331,0.7205405905766916,0.2490974729241877,0.011385726187170231,0.8767934832916783,0.12320651670832176
Carroll,119992,91712,23610,1206,111363,8629,0.764317621174745,0.1967631175411694,0.010050670044669644,0.9280868724581639,0.07191312754183612
Catoosa,67580,62949,1973,951,65432,2148,0.9314738088191773,0.02919502811482687,0.014072210713228766,0.9682154483575022,0.03178455164249778
Charlton,13392,8630,4038,110,12670,722,0.6444145758661888,0.3015232974910394,0.008213859020310634,0.9460872162485066,0.05391278375149343
Chatham,289430,153523,119154,8532,270093,19337,0.5304322288636285,0.41168503610544865,0.029478630411498462,0.9331893722143524,0.06681062778564766
Chattahoochee,10907,7669,2120,320,9064,1843,0.7031264325662419,0.19437058769597507,0.029338956633354726,0.8310259466397726,0.1689740533602274
Chattooga,24789,21514,2426,141,23429,1360,0.8678849489693009,0.09786598894671024,0.005688006777199564,0.9451369559078624,0.054863044092137644
Cherokee,258773,226203,19914,5377,230166,28607,0.8741367917054715,0.07695547835361495,0.02077882932145162,0.8894513724383919,0.11054862756160805
Clarke,128331,83155,36341,5303,114214,14117,0.6479728202850441,0.2831817721361168,0.041322829246246036,0.8899954025138119,0.11000459748618806
Clay,2834,1070,1711,17,2787,47,0.37755822159491886,0.6037402964008468,0.005998588567395907,0.9834156669019054,0.016584333098094567
Clayton,292256,55855,212619,14687,253062,39194,0.19111669221504435,0.7275094437753202,0.0502538870031753,0.8658915471367569,0.1341084528632432
Clinch,6618,4573,1825,24,6235,383,0.6909942580840133,0.27576307041402237,0.003626473254759746,0.9421275309761257,0.05787246902387428
Cobb,760141,474248,218974,42561,659019,101122,0.6238947774162952,0.28807023960028466,0.055990927998884416,0.8669694175159609,0.13303058248403915
Coffee,43273,29521,12469,383,38045,5228,0.6822036835902294,0.28814734360917893,0.008850784553878862,0.8791856353846509,0.12081436461534906
Colquitt,45600,33152,10833,398,36674,8926,0.7270175438596491,0.2375657894736842,0.008728070175438597,0.8042543859649123,0.19574561403508772
Columbia,156714,114330,29447,6783,145587,11127,0.729545541559784,0.18790280383373534,0.04328266778973161,0.9289980473984456,0.07100195260155442
Cook,17270,11988,4817,125,16232,1038,0.694151708164447,0.27892298784018527,0.007237984944991315,0.9398957730167922,0.06010422698320787
Coweta,148509,113989,27385,3319,137659,10850,0.7675561750466302,0.18439959867752123,0.022348813876600072,0.926940454787252,0.07305954521274804
Crawford,12404,9387,2583,167,11961,443,0.7567720090293454,0.2082392776523702,0.01346339890357949,0.9642857142857143,0.03571428571428571
Crisp,22372,11667,10012,296,21526,846,0.5215000893974611,0.4475236903271947,0.013230824244591453,0.9621848739495799,0.037815126050420166
Dade,16116,15363,226,170,15743,373,0.9532762472077438,0.014023330851327873,0.010548523206751054,0.976855299081658,0.02314470091834202
Dawson,26108,25042,296,242,24739,1369,0.9591696031867627,0.011337521066339819,0.0092691895204535,0.9475639650681783,0.05243603493182166
Decatur,26404,14312,11272,175,24676,1728,0.5420390849871232,0.4269050143917588,0.006627783669141039,0.9345553703984245,0.06544462960157552
DeKalb,759297,272548,416429,49133,694540,64757,0.3589478162036726,0.5484402019236214,0.06470853960966526,0.9147145319947267,0.0852854680052733
Dodge,20605,13779,6292,105,19862,743,0.6687211841785974,0.3053627760252366,0.00509585052171803,0.9639407910701286,0.03605920892987139
Dooly,13390,6383,6719,101,12449,941,0.4766990291262136,0.5017923823749066,0.007542942494398805,0.9297236743838686,0.07027632561613144
Dougherty,87956,23093,62425,821,85267,2689,0.2625517304106599,0.7097298649324663,0.009334212560825868,0.9694278957660648,0.03057210423393515
Douglas,146343,66426,72720,2411,131362,14981,0.45390623398454316,0.49691478239478487,0.016474993679233035,0.8976309082087971,0.10236909179120286
Early,10190,4684,5268,75,9958,232,0.45966633954857705,0.5169774288518155,0.007360157016683023,0.9772325809617272,0.022767419038272816
Echols,4006,3512,248,27,2812,1194,0.8766849725411883,0.0619071392910634,0.00673989016475287,0.7019470793809286,0.2980529206190714
Effingham,64296,52627,9206,717,61165,3131,0.8185112604205549,0.14318153539878065,0.011151549085479657,0.9513033470200324,0.04869665297996765
Elbert,19194,13093,5566,188,18043,1151,0.682140252162134,0.28998645410023965,0.009794727519016359,0.9400333437532562,0.05996665624674377
Emanuel,22646,14224,7865,169,21605,1041,0.6281020930848715,0.34730195177956374,0.007462686567164179,0.954031617062616,0.04596838293738408
Evans,10654,6957,3316,127,9399,1255,0.65299418058945,0.31124460296602213,0.011920405481509293,0.8822038670921719,0.11779613290782805
Fannin,26188,25317,234,170,25503,685,0.9667404918283183,0.008935390255078663,0.0064915228348862075,0.9738429815182527,0.026157018481747365
Fayette,114421,76288,28899,5853,105858,8563,0.6667307574658498,0.2525672734900062,0.0511531974025747,0.9251623390811128,0.07483766091888727
Floyd,98498,79162,14727,1572,87082,11416,0.803691445511584,0.14951572620763873,0.0159597149180694,0.8840991695262848,0.1159008304737152
Forsyth,244252,189577,10661,37977,220646,23606,0.776153317065981,0.0436475443394527,0.15548286196223574,0.9033539131716424,0.0966460868283576
Franklin,23349,20257,2217,327,22225,1124,0.8675746284637458,0.09495053321341385,0.014004882436078633,0.9518608934001456,0.04813910659985438
Fulton,1063937,483838,473020,80896,987164,76773,0.4547618890968168,0.4445939938173031,0.07603457723530622,0.9278406522190694,0.07215934778093064
Gilmer,31369,29956,431,227,27661,3708,0.9549555293442571,0.01373967930122095,0.007236443622684816,0.8817941279607255,0.11820587203927445
Glascock,2971,2648,254,3,2916,55,0.8912823964994951,0.0854930999663413,0.0010097610232245036,0.9814877145742175,0.018512285425782565
Glynn,85292,58992,22694,1365,79462,5830,0.6916475167659335,0.2660741921868405,0.01600384561271866,0.9316465788116118,0.06835342118838812
Gordon,57963,53049,2551,834,48394,9569,0.9152217794110036,0.04401083449786933,0.014388489208633094,0.8349119265738488,0.16508807342615117
Grady,24633,16370,7330,168,21663,2970,0.6645556773434012,0.2975683026833922,0.0068201193520886615,0.8794300328827183,0.1205699671172817
Greene,18324,11585,6021,218,17145,1179,0.6322309539401877,0.3285854616895874,0.011896965728006985,0.9356581532416502,0.06434184675834971
Gwinnett,936250,503771,278745,117464,732627,203623,0.5380731642189586,0.29772496662216286,0.12546221628838453,0.7825121495327103,0.21748785046728972
Habersham,45328,41088,1768,1055,38281,7047,0.9064595834804094,0.03900458877515002,0.023274797034945286,0.8445331803741617,0.15546681962583833
Hall,204441,177923,16578,4329,144981,59460,0.8702902059762964,0.08108940965853229,0.021174813271310548,0.7091581434252425,0.29084185657475753
Hancock,8457,2241,6008,82,8227,230,0.26498758424973395,0.7104174056994206,0.009696109731583304,0.9728035946553151,0.027196405344684878
Haralson,29792,27565,1340,253,29203,589,0.9252483888292159,0.04497851772287863,0.008492212674543502,0.9802295918367347,0.019770408163265307
Harris,35236,28065,5867,418,33873,1363,0.796486547848791,0.1665058462935634,0.01186286752185265,0.961317970257691,0.038682029742309
Hart,26205,20400,5003,302,25214,991,0.7784773898111047,0.1909177637855371,0.011524518221713414,0.9621827895439802,0.037817210456019844
Heard,11923,10362,1164,65,11573,350,0.8690765746875786,0.09762643629958903,0.005451648075148872,0.9706449719030446,0.029355028096955463
Henry,234561,105865,113483,7991,217578,16983,0.451332489203235,0.4838101815732368,0.03406789705023427,0.9275966592911865,0.07240334070881349
Houston,157863,94969,51923,5270,147506,10357,0.6015912531752216,0.3289117779340314,0.03338337672538847,0.9343924795550572,0.06560752044494277
Irwin,9416,6578,2621,83,9053,363,0.6985981308411215,0.2783559898045879,0.008814783347493627,0.9614485981308412,0.038551401869158876
Jackson,72977,64399,5405,1547,66824,6153,0.8824561163106184,0.07406443125916384,0.02119845978870055,0.9156857640078381,0.08431423599216191
Jasper,14219,11070,2768,45,13642,577,0.7785357620085801,0.1946691047190379,0.003164779520360082,0.9594204937056052,0.04057950629439482
Jeff Davis,15115,12344,2313,116,13175,1940,0.8166721799536883,0.15302679457492557,0.007674495534237513,0.8716506781343036,0.12834932186569634
Jefferson,15362,6961,8080,103,14740,622,0.4531311027209999,0.525973180575446,0.0067048561385236296,0.9595104804061971,0.04048951959380289
Jenkins,8676,4741,3696,88,8134,542,0.5464499769479022,0.4260027662517289,0.010142923005993546,0.9375288151221761,0.06247118487782388
Johnson,9643,6153,3306,39,9371,272,0.6380794358602094,0.3428393653427357,0.004044384527636628,0.9717930104739189,0.028206989526081094
Jones,28735,20804,7253,174,28203,532,0.7239951278928136,0.2524099530189664,0.006055333217330781,0.9814859926918392,0.01851400730816078
Lamar,19077,12830,5679,144,18574,503,0.6725376107354406,0.29768831577292026,0.007548356659852178,0.9736331708339886,0.026366829166011428
Lanier,10423,7594,2298,124,9759,664,0.7285810227381752,0.22047395183728294,0.01189676676580639,0.9362947328024561,0.0637052671975439
Laurens,47546,28360,17832,550,46177,1369,0.5964749926387077,0.37504732259285745,0.011567744920708367,0.9712068312791823,0.028793168720817733
Lee,29992,21698,6969,775,29032,960,0.723459589223793,0.23236196319018404,0.025840224059749266,0.9679914643905041,0.03200853560949587
Liberty,61435,28806,27627,1263,53660,7775,0.4688858142752503,0.44969479938146006,0.020558313664849028,0.8734434768454464,0.1265565231545536
Lincoln,7921,5408,2292,39,7755,166,0.682742078020452,0.28935740436813534,0.004923620754955183,0.9790430501199343,0.020956949880065648
Long,19559,12838,5380,258,17402,2157,0.6563730252057877,0.275065187381768,0.013190858428345007,0.8897182882560458,0.1102817117439542
Lowndes,117406,67569,43896,2550,110392,7014,0.5755157317343236,0.37388208439091697,0.021719503262184216,0.9402585898506038,0.059741410149396115
Lumpkin,33610,31828,585,268,31900,1710,0.9469800654567093,0.017405534067241893,0.007973817316274919,0.949122285034216,0.05087771496578399
McDuffie,21312,11858,8846,103,20598,714,0.5564001501501501,0.4150713213213213,0.004832957957957958,0.9664977477477478,0.03350225225225225
McIntosh,14378,9145,4816,75,14053,325,0.6360411740158576,0.3349561830574489,0.005216302684657115,0.9773960216998192,0.022603978300180832
Macon,12947,4650,7863,182,12366,581,0.35915656136556734,0.6073221595736464,0.014057310573878119,0.9551247393218506,0.04487526067814938
Madison,29880,25693,2861,646,28065,1815,0.8598728246318608,0.09574966532797859,0.021619812583668005,0.9392570281124498,0.0607429718875502
Marion,8359,5382,2587,78,7714,645,0.6438569206842923,0.3094867807153966,0.00933125972006221,0.9228376600071779,0.07716233999282211
Meriwether,21167,12389,8151,133,20640,527,0.5852978693248925,0.3850805499125998,0.006283365616289507,0.9751027542873341,0.024897245712665942
Miller,5718,3942,1617,36,5555,163,0.689401888772298,0.282791185729276,0.0062959076600209865,0.9714935292060161,0.02850647079398391
Mitchell,21863,10786,10498,181,20816,1047,0.49334492064218083,0.4801719800576316,0.00827882724237296,0.95211087224992,0.04788912775008004
Monroe,27578,20571,6264,281,26928,650,0.7459206613967655,0.22713757342809485,0.010189281311190079,0.9764304880702008,0.023569511929799114
Montgomery,9172,6595,2377,56,8529,643,0.7190361971216747,0.2591583078935892,0.006105538595726123,0.9298953336240733,0.07010466637592673
Morgan,19276,14497,4207,131,18655,621,0.7520751193193609,0.2182506744137788,0.006796015770906827,0.9677837725669226,0.0322162274330774
Murray,40096,38352,497,213,33808,6288,0.9565043894652833,0.012395251396648045,0.005312250598563448,0.8431763766959298,0.15682362330407024
Muscogee,195769,88496,93905,5578,180682,15087,0.4520429690093937,0.47967247112668504,0.02849276443154943,0.9229346832235952,0.07706531677640484
Newton,111744,53951,53322,1354,104942,6802,0.4828089203894616,0.47717998281786944,0.012116981672394044,0.93912872279496,0.06087127720504009
Oconee,40280,35535,2089,1684,37969,2311,0.8821996027805362,0.051861966236345584,0.04180734856007944,0.9426266137040715,0.0573733862959285
Oglethorpe,15259,12122,2634,159,14496,763,0.7944164099875484,0.17261943770889313,0.010420079952814732,0.9499967232452978,0.05000327675470214
Paulding,168667,124861,36886,2071,156761,11906,0.7402811456894354,0.21869126740856243,0.012278631860411343,0.92941120669722,0.07058879330278003
Peach,27546,14283,12239,304,25244,2302,0.5185144848616859,0.44431133376896825,0.011036085094024541,0.916430697741959,0.0835693022580411
Pickens,32591,31274,424,252,31563,1028,0.9595900708784634,0.01300972661164125,0.007732196005032064,0.968457549630266,0.03154245036973397
Pierce,19465,17126,1719,125,18466,999,0.879835602363216,0.08831235550988954,0.006421782686873876,0.948677112766504,0.05132288723349602
Pike,18962,16786,1739,90,18630,332,0.8852441725556376,0.09170973525999367,0.004746334774812784,0.9824912983862462,0.017508701613753824
Polk,42613,35547,5448,325,36830,5783,0.8341820571187196,0.1278483092014174,0.007626780559923028,0.864290240067585,0.135709759932415
Pulaski,11137,7196,3562,129,10740,397,0.6461345065996229,0.31983478495106404,0.011583011583011582,0.9643530573763132,0.03564694262368681
Putnam,22119,15731,5822,133,20750,1369,0.7111985171119851,0.26321262263212625,0.0060129300601293005,0.9381075093810751,0.061892490618924906
Quitman,2299,1130,1116,6,2252,47,0.49151805132666376,0.4854284471509352,0.0026098303610265334,0.9795563288386255,0.02044367116137451
Rabun,17137,16280,272,179,15791,1346,0.9499912470093949,0.015872089630623795,0.010445235455447278,0.9214564976366926,0.07854350236330747
Randolph,6778,2499,4168,39,6597,181,0.3686928297432871,0.6149306580112127,0.00575390970787843,0.9732959575095899,0.02670404249041015
Richmond,202518,75227,116947,3545,192258,10260,0.3714583395056242,0.5774647191854552,0.017504616873561855,0.9493378366367434,0.0506621633632566
Rockdale,90896,33619,52824,1716,81377,9519,0.3698622601654638,0.5811476852666784,0.01887871853546911,0.8952759197324415,0.10472408026755853
Schley,5257,3987,1065,45,4956,301,0.7584173482975081,0.20258702682138102,0.008560015217804832,0.9427430093209055,0.05725699067909454
Screven,13966,7893,5720,91,13614,352,0.5651582414435057,0.40956608907346415,0.006515824144350565,0.9747959329800945,0.025204067019905484
Seminole,8090,5188,2681,65,7799,291,0.6412855377008653,0.33139678615574786,0.008034610630407911,0.9640296662546354,0.035970333745364645
Spalding,66703,41041,23294,692,63384,3319,0.6152796725784447,0.34921967527697406,0.010374345981440115,0.9502421180456652,0.049757881954334886
Stephens,25925,22041,2847,220,24920,1005,0.8501832208293153,0.10981677917068466,0.008486017357762778,0.9612343297974928,0.038765670202507235
Stewart,6621,3025,3209,214,4412,2209,0.45687962543422445,0.48466998942757894,0.03232140160096662,0.6663645974928258,0.33363540250717416
Sumter,29524,12925,15620,407,27698,1826,0.437779433681073,0.5290611028315947,0.013785394932935917,0.9381520119225037,0.06184798807749627
Talbot,6195,2636,3415,17,6014,181,0.4255044390637611,0.5512510088781275,0.0027441485068603715,0.9707828894269572,0.029217110573042777
Taliaferro,1537,632,847,20,1475,62,0.41119063109954457,0.5510735198438517,0.013012361743656473,0.9596616785946649,0.04033832140533507
Tattnall,25286,16998,7459,168,22197,3089,0.6722296923198607,0.29498536739697856,0.006643992723246065,0.8778375385588864,0.12216246144111366
Taylor,8020,4795,3019,70,7809,211,0.5978802992518704,0.37643391521197006,0.008728179551122194,0.9736907730673316,0.02630922693266833
Telfair,15860,9609,5853,111,13449,2411,0.6058638083228247,0.36904161412358133,0.0069987389659520805,0.8479823455233292,0.15201765447667087
Terrell,8531,3187,5123,34,8286,245,0.3735787129293166,0.6005157660297737,0.003985464775524557,0.9712812097057789,0.028718790294221076
Thomas,44451,26917,16103,465,42703,1748,0.6055431823805989,0.36226406605025757,0.010460957008841197,0.9606758003194529,0.039324199680547116
Tift,40644,26721,12492,628,35690,4954,0.6574402125775022,0.3073516386182462,0.01545123511465407,0.8781123905127448,0.12188760948725519
Toombs,26830,18884,7056,222,23657,3173,0.703838986209467,0.26298919120387626,0.00827431979127842,0.8817368617219531,0.11826313827804696
Towns,12037,11586,140,111,11648,389,0.9625321924067458,0.011630805017861593,0.009221566835590264,0.9676829774860846,0.032317022513915425
Treutlen,6901,4578,2199,24,6693,208,0.6633821185335459,0.3186494710911462,0.003477756846833792,0.9698594406607738,0.0301405593392262
Troup,69922,41102,25546,1639,67313,2609,0.5878264351706187,0.3653499613855439,0.023440405022739624,0.9626869940791167,0.03731300592088327
Turner,7985,4545,3194,78,7599,386,0.5691922354414527,0.4,0.009768315591734503,0.9516593613024421,0.04834063869755792
Twiggs,8120,4608,3303,27,7901,219,0.5674876847290641,0.4067733990147783,0.0033251231527093596,0.9730295566502463,0.026970443349753695
Union,24511,23736,213,119,23637,874,0.9683815429807026,0.008689975929174656,0.0048549630778018035,0.9643425400840439,0.0356574599159561
Upson,26320,18093,7488,171,25692,628,0.6874240121580547,0.2844984802431611,0.006496960486322189,0.9761398176291793,0.02386018237082067
Walker,69761,64671,3060,530,68021,1740,0.9270365963790657,0.04386405011396052,0.007597368156993163,0.9750576969940224,0.02494230300597755
Walton,94593,73003,17842,1609,89939,4654,0.7717590096518769,0.18861860814225154,0.017009715306629456,0.9507997420527946,0.049200257947205395
Ware,35734,23704,10788,350,34160,1574,0.6633458331001287,0.30189735266133094,0.009794593384451782,0.955952314322494,0.04404768567750602
Warren,5254,2075,3065,37,5166,88,0.3949371907118386,0.5833650551960411,0.007042253521126761,0.9832508564902931,0.01674914350970689
Washington,20374,8986,10966,125,19840,534,0.4410523215863355,0.538235005399038,0.006135270442721115,0.9737901246686954,0.026209875331304602
Wayne,29927,22824,6032,231,27979,1948,0.7626557957697063,0.20155712233100545,0.007718782370434724,0.9349082768068968,0.06509172319310322
Webster,2607,1434,1099,15,2477,130,0.5500575373993095,0.42155734560797853,0.005753739930955121,0.9501342539317222,0.04986574606827771
Wheeler,7855,4748,2967,30,7432,423,0.6044557606619987,0.37772119669000637,0.0038192234245703373,0.9461489497135582,0.05385105028644176
White,30798,29283,625,170,29764,1034,0.9508084940580557,0.02029352555360738,0.005519838950581207,0.966426391324112,0.033573608675888045
Whitfield,104628,94781,4607,1715,66614,38014,0.9058856137936308,0.04403219023588332,0.01639140574224873,0.6366746951102955,0.3633253048897045
Wilcox,8635,5421,2979,71,8206,429,0.6277938621887666,0.344991314418066,0.008222350897510134,0.9503184713375796,0.049681528662420385
Wilkes,9777,5452,4018,87,9252,525,0.5576352664416487,0.4109645085404521,0.008898435102792267,0.9463025467934949,0.05369745320650506
Wilkinson,8954,5307,3405,36,8677,277,0.5926960017869108,0.3802769711860621,0.0040205494750949295,0.9690641054277418,0.030935894572258208
Worth,20247,14088,5670,146,19760,487,0.6958067861905467,0.28004148762779674,0.007210944831333037,0.9759470538845261,0.024052946115473896
